artists,name,danceability,energy,popularity,year
['Phillip Hermans'],New Years in July,0.716,0.239,0,2019
['J-Dooly'],Never.,0.953,0.606,8,2019
['Kuzo'],Priorites,0.716,0.528,2,2019
['Cain/Abel'],Said It (6 Years),0.8170000000000001,0.415,0,2019
['Morgan Wallen'],This Bar,0.545,0.884,72,2019
['J-Dooly'],So High.,0.9470000000000001,0.385,8,2019
['NerdOut'],The 2019 Big Screen Rap Up,0.657,0.5770000000000001,19,2019
"['Larry Wilson', 'His Blue City Knights']",2000 Light Years from Home (Live),0.34700000000000003,0.54,0,2019
['J-Dooly'],Free Smoke.,0.802,0.24600000000000002,8,2019
['NerdOut'],The 2019 Gaming Rap Up,0.516,0.812,20,2019
['J-Dooly'],"Go, Go, Goooo, Go.",0.8809999999999999,0.72,8,2019
['J-Dooly'],"1,2,3,4life.",0.897,0.44,8,2019
['Stephan Crown'],Motion 2018 - Original mix,0.754,0.922,0,2019
['Luis R Conriquez'],El Buho,0.917,0.54,69,2019
['Amezquita'],1000 Year Illusion,0.575,0.82,0,2019
['Sam Hunt'],Body Like A Back Road,0.718,0.475,13,2019
"['Alan Walker', 'Ava Max']","Alone, Pt. II",0.67,0.6679999999999999,79,2019
"['Don Toliver', 'Quavo', 'Offset']",HAD ENOUGH (feat. Quavo & Offset),0.75,0.789,70,2019
"['Rebelion', 'Deadly Guns']",Misery,0.539,0.955,5,2019
"['JACKBOYS', 'Pop Smoke', 'Travis Scott']",GATTI,0.594,0.6759999999999999,80,2019
['The Prophet'],The Lonesome Boatman,0.35700000000000004,0.885,7,2019
['Avicii'],Waiting For Love,0.595,0.626,12,2019
"['Shawn Mendes', 'Camila Cabello']",I Know What You Did Last Summer,0.68,0.7659999999999999,14,2019
"['Maroon 5', 'SZA']",What Lovers Do,0.799,0.591,10,2019
['KELTEK'],Edge Of Existence - Reverze 2019 Anthem,0.489,0.836,1,2019
"['JACKBOYS', 'Sheck Wes']",GANG GANG,0.8590000000000001,0.6,73,2019
"['JACKBOYS', 'Travis Scott', 'Don Toliver']",WHAT TO DO? (feat. Don Toliver),0.643,0.594,73,2019
"['Travis Scott', 'ROSALÃA', 'Lil Baby']",HIGHEST IN THE ROOM (feat. ROSALÃA & Lil Baby) - REMIX,0.5589999999999999,0.491,72,2019
"['Chris Armada', 'Bella']",Future Memories (Official Anthem Secret Island 2019) - Festival Edit,0.46,0.856,0,2019
"['JACKBOYS', 'Travis Scott', 'Young Thug']",OUT WEST (feat. Young Thug),0.802,0.591,83,2019
"['D-Block & S-te-Fan', 'Sound Rush']",Rebel - Sound Rush Remix,0.525,0.992,6,2019
['Kriss Lieven'],Quigg 2000,0.65,0.617,0,2019
['Ichisan'],Space Patrol - Original 2009 Version (Re-Mastered),0.672,0.725,3,2019
['Ichisan'],Space Patrol - Ichisan 2019 Version,0.7,0.649,3,2019
['Drink Bar Chillout Music'],Summer 2019,0.6559999999999999,0.429,0,2019
"['Steve Mulder', 'D-Shake', 'Carl Cox']",Techno Trance 2016 - Carl Cox Remix,0.615,0.965,0,2019
"['Central Stage of Music', 'Euphorizon', 'Damn-R']",10 Years Hymn - Damn-R Remix,0.59,0.972,0,2019
['Workout Music '],Beautiful People (Remix),0.5329999999999999,0.879,14,2019
['Workout Music '],Memories (Remix),0.841,0.915,27,2019
['Workout Music '],Someone You Loved (Remix),0.8370000000000001,0.581,17,2019
['Workout Music '],Only Human (Remix),0.773,0.745,13,2019
['Workout Music '],Senorita (Remix),0.649,0.929,29,2019
['Workout Music '],Old Town Road (Remix),0.845,0.597,16,2019
['Workout Music '],RITMO (Bay Boys For Life) [Remix],0.7340000000000001,0.809,14,2019
['Workout Music '],Good as Hell (Remix),0.728,0.802,13,2019
['Workout Music '],Don't Start Now (Remix),0.7809999999999999,0.754,30,2019
['Workout Music '],Bad Guy (Remix),0.843,0.6579999999999999,25,2019
['Workout Music '],Dance Monkey (Remix),0.777,0.6609999999999999,32,2019
['Workout Music '],Tusa (Remix),0.764,0.828,16,2019
['Workout Music '],Lover (Remix),0.5589999999999999,0.705,13,2019
['Workout Music '],Truth Hurts (Remix),0.826,0.7759999999999999,13,2019
['Workout Music '],Lose You to Love Me (Remix),0.617,0.883,12,2019
['Workout Music '],Circles (Remix),0.6759999999999999,0.644,16,2019
['Deep Lounge'],Summer All Year,0.542,0.335,0,2019
['Bo Sand'],In the year of 2004,0.723,0.36200000000000004,0,2019
['Bo Sand'],In the year of 2004,0.723,0.36200000000000004,0,2019
['Artem Pivovarov'],2000 - UA Version,0.659,0.8740000000000001,0,2019
['TPD TV'],Tpd Rewind 2018,0.758,0.693,0,2019
['Natanael Cano'],Amor Tumbado,0.535,0.7140000000000001,76,2019
['The National'],Light Years - Live at Berkeley 9/24/18,0.337,0.341,23,2019
['The National'],Light Years - Live at Berkeley 9/25/18,0.375,0.257,22,2019
['Red Velvet'],Psycho,0.664,0.6659999999999999,79,2019
"['Bass Chaserz', 'MC Diesel']",The Only Way Is Up - 2019 Edit,0.49700000000000005,0.985,0,2019
"['Bass Chaserz', 'Last Word']",Heroâ€™s Journey (Official Anthem Fairytale Festival 2019),0.52,0.978,0,2019
"['NLE Choppa', 'Blueface']",Shotta Flow (feat. Blueface) [Remix],0.894,0.511,69,2019
['Bass Chaserz'],Nightbreed 2019 Yearmix - Full Continuous Mix,0.433,0.9690000000000001,2,2019
['Buben'],Postmates Last Year,0.797,0.991,0,2019
['lildeath'],moment,0.542,0.856,71,2019
['Pale Bird'],"Goodbye, 2018",0.54,0.18,0,2019
['Stefano Tirelli'],Big Love to Me - 2019 Remastered Version,0.7390000000000001,0.6559999999999999,0,2019
['Veselin Tasev'],Eleven Years - Extended Collection Mix,0.418,0.997,0,2019
['Veselin Tasev'],Eleven Years - Extended Collection Mix,0.418,0.997,0,2019
['The Passing Notes'],Most Wonderful Time of the Year,0.275,0.245,0,2019
['James D. M. Tucker'],Seventeen Years - 2019 Remastered Version,0.54,0.159,0,2019
