,Name,cleaned_lyrics,Genre
9279,Dark Queen,"Dark Queen Dear momma Love momma that's gang And grandmama 1600 block That Maaly Raw Dear momma don't wanna sign way Outchea getting commas count Like dad, grinder oh yeah She don't want locked locked Momma gon' wash wash up, yeah Whip wrist lock yeah All diamonds rocked oh yeah don't wanna sign woah Momma love me, wrong wrong Momma trap, favorite song favorite song gon' get racks, lil baby, long long Said wasn't nothing, came strong strong You got best advice, won't call way know grown, need ya'll got And get locked up, mom change law oh yeah You fix everything, that's thought thought When small, momma made tall tall Even though daddy pup, still gon' wipe paws Don't care money, don't care cars don't, don't Lose momma, that's problem can't solve Dear momma don't wanna sign way Out getting commas count Like dad, grinder oh yeah She don't want locked locked Momma gon' wash wash up, yeah Whip wrist lock yeah All diamonds rocked oh yeah don't wanna sign woah Now got game headlock headlock Never catch lacking run red light lacking shorty, skrrt Bitch, talk codes real slimes folk n'em They tried break safe, deadlock deadlock Momma used bag day time day time Momma got bag night time night time Was thirty second street, like 8 think Cumberland Moved FrancisVille met real friends bah Momma said stay fore get hurt 1600 block That way Lil Uzi Vert 1600 block Momma saw action, could've got worse 1600 block know momma know shooting first Dear momma boo, bah don't wanna sign way Outchea getting commas count Like dad, grinder oh yeah She don't want locked locked Momma gon' wash wash up, yeah Whip wrist lock yeah All diamonds rocked oh yeah don't wanna sign woah Dear momma 1600 block Love momma And grandmama 1600 block","Emo Rap,Alternative,Alternative R&;B,R&;B,Cloud Rap,Trap,Rap"
34055,Beez In The Trap,"Beez In The Trap Yo Man, man Uh Bitches ain't shit ain't saying nothing A hundred motherfuckers can't tell nothing beez trap, bee beez trap beez trap, bee beez trap Bitches ain't shit ain't saying nothing A hundred motherfuckers can't tell nothing beez trap, bee beez trap beez trap, bee beez trap Man that, man popped And ain't trying give get dropped Let bust U-ie, bitch bust open Might spend couple thou' bust open Rip joking, like name Hulk Hogan Niggas move weight South, live Hoboken Bitch, spit crack, like trap So need hit, bat Bitches ain't shit ain't saying nothing A hundred motherfuckers can't tell nothing beez trap, bee beez trap beez trap, bee beez trap Bitches ain't shit ain't saying nothing A hundred motherfuckers can't tell nothing beez trap, bee beez trap beez trap, bee beez trap 2 Chainz! Okay Nicki, Nicki, Nicki, put kidney Got new LS 450, ain't keys do-hicky If weren't rapping, I'd trapping If weren't trapping, I'd pimping If weren't pimping, I'd getting it, period don't smoke bobby, denim ricky Got girl molly smoking loud drinkin' Got top back see thinkin' If know know I've thinking Franklin Money, thousands, True Religion trousers Got private home, started public houses Hair weave killer, causing arousal Audi A8, told outtie 5000, uh Bitches ain't shit ain't saying nothing A hundred motherfuckers can't tell nothing beez trap, bee beez trap beez trap, bee beez trap Bitches ain't shit ain't saying nothing A hundred motherfuckers can't tell nothing beez trap, bee beez trap beez trap, bee beez trap Damn, damn, say me? don't know man, fuck biscuit If get hit, swinging big bitch don't know man, shitting whole life Damn, damn, say me? don't know man, fuck biscuit If get hit, swinging big bitch don't know man, shitting whole life Bitches ain't shit ain't saying nothing A hundred motherfuckers can't tell nothing beez trap, bee beez trap beez trap, bee beez trap Man Texas, man, A-town Then Chi-town Miami shutting It's New Orleans, it's LA The Bay It's New York, Philly, whole DMV Detroit Player, man it's North-South Cack Ohio, Pittsburgh, got St Louis deck It's Delaware, Connecticut, it's New Jersey got hella bricks It's Queens, Brooklyn, yeah, wildin' Bronx, Harlem, Staten Island Bitches ain't shit ain't saying nothing A hundred motherfuckers can't tell nothing beez trap, bee beez trap beez trap, bee beez trap Damn, damn, say me? don't know man, fuck biscuit If get hit, swinging big bitch don't know man, shitting whole life Damn, damn, say me? don't know man, fuck biscuit If get hit, swinging big bitch don't know man, shitting whole life","Trap,Rap"
42754,Love The Way You Lie,"Love Way You Lie Just gonna stand watch burn? Well, that's right like way hurts Just gonna stand hear cry? Well, that's right love way lie love way lie can't tell really is, tell feels like And right now, it's steel knife windpipe can't breathe, still fight fight As long wrong feels right, it's like flight High love, drunk hate It's like huffing paint love her, suffer, suffocate And right drown, resuscitates She fucking hates me, love it; Wait! Where going?"" ""I'm leaving you”, No, ain't, come back!"" We're running right back, go It's insane, cause it's going good, it's going great Superman wind back, she's Lois Lane But it's bad, it's awful, feel ashamed snap, Who's dude?"", don't even know name laid hands her, I'll never stoop low guess don't know strength Just gonna stand watch burn? Well, that's right like way hurts Just gonna stand hear cry? Well, that's right love way lie love way lie love way lie You ever love somebody much You barely breathe you're em? You meet, neither one even know hit em Got warm fuzzy feelin', yeah, chills, used get em Now you're getting fucking sick looking em? You swore you'd never hit em, never nothing hurt em Now you're other's face Spewing venom words spit em You push, pull other's hair, scratch, claw, bit em Throw em down, pin em So lost moments you're em It's rage that's culprit , controls So say it's best go separate ways Guess don't know ya 'Cause today, yesterday, yesterday It's different day, sound like broken records playing But promised her, next time you'd show restraint You don't get another chance, life Nintendo game But lied Now get watch leave window Guess that's call window pane Just gonna stand watch burn? Well, that's right like way hurts Just gonna stand hear cry? Well, that's right love way lie love way lie love way lie Now, know said things, things didn't mean And fall back patterns, routines But temper's bad mine You're comes love You're blinded, baby, please Come back, wasn't you, baby, Maybe relationship isn't crazy seems Maybe that's happens tornado meets volcano All know love much walk away though Come inside, pick bags sidewalk Don't hear sincerity voice talk? Told fault, look eyeball Next time pissed, I'll aim fist drywall Next time? There won't next time! apologize, even though know it's lies tired games, want back know liar, ever tries fucking leave I'ma tie bed set house fire, gonna Just gonna stand watch burn? Well, that's right like way hurts Just gonna stand hear cry? Well, that's right love way lie love way lie love way lie","Ballad,Pop,Rap"
22672,Shake It Off,"Shake It Off stay late Got nothing brain That's people say, mm, mm That's people say, mm, mm go many dates But can't make stay At least that's people say, mm, mm That's people say, mm, mm But keep cruisin' Can't stop, won't stop movin' It's like got music mind Saying it's gonna alright 'Cause players gonna play, play, play, play, play And haters gonna hate, hate, hate, hate, hate Baby, gonna shake, shake, shake, shake, shake shake off, shake Heartbreakers gonna break, break, break, break, break And fakers gonna fake, fake, fake, fake, fake Baby, gonna shake, shake, shake, shake, shake shake off, shake never miss beat lightning feet And that's don't see, mm, mm That's don't see, mm, mm dancing dancing make moves go moves go And that's don't know, mm, mm That's don't know, mm, mm But keep cruisin' Can't stop, won't stop groovin' It's like got music mind Saying it's gonna alright 'Cause players gonna play, play, play, play, play And haters gonna hate, hate, hate, hate, hate Baby, gonna shake, shake, shake, shake, shake shake off, shake Heartbreakers gonna break, break, break, break, break And fakers gonna fake, fake, fake, fake, fake Baby, gonna shake, shake, shake, shake, shake shake off, shake Shake off, shake I, I, shake off, shake I, I, shake off, shake I, I, shake off, shake Hey, hey, hey Just think you've getting liars And dirty, dirty cheats world You could've getting To sick beat My ex-man brought new girlfriend She's like, “Oh God,” gonna shake And fella hella good hair Won't come over, baby? We shake, shake, shake Yeah, oh, oh, oh 'Cause players gonna play, play, play, play, play And haters gonna hate, hate, hate, hate, hate Haters gonna hate Baby, gonna shake, shake, shake, shake, shake shake off, shake Heartbreakers gonna break, break, break, break, break mmhm And fakers gonna fake, fake, fake, fake, fake And fake, fake, fake Baby, gonna shake, shake, shake, shake, shake shake off, shake Shake off, shake I, I, shake off, shake I, I, shake off, shake I, I, shake off, shake Shake off, shake I, I, shake off, shake I, I, shake off, shake I, I, shake off, shake yeah Shake off, shake I, I, shake off, shake got I, I, shake off, shake I, I, shake off, shake","Dance-Pop,Pop"
96494,We Can't Be Friends,"We Can't Be Friends RL To act like never To come around show hurt How dare greet shaking hands Just months ago, man, man Verbaly agreed And trying compose But can't get you, girl We can't friends Yeah, oh We can't friends Deborah, know can't go friend, yeah We can't friends Cuz still love Deb went mother's, saw car To you're still family And don't seem fair For everyone go And I've tried can't Cuz still torn tried think another love In past didn't last But it's simple, baby We can't friends Oh no, no, no, We can't friends If we, can't lovers We can't friends Cuz still love Both You may see staring Or catch daze May see hang head When come way Don't get close And expect behave RL might steal kiss Both If come near face What trying say Repeat 1 while: RL We can't friends Deb Can look eyes And honestly say dont love me? RL Said know Deb R.L know Both I'll never ever find another love like you, oh RL love much baby Deb love much, oh Both We can't friends, still love Deb RL With Deb RL Still love Deb Still love Bothwith",Pop
20951,Outside,"Outside Look you've done Stand still, falling away When takes long Fire's out, want be? Now holding Myself never enough Gotta strong There's power Now, every day I'll watching I'll show feels like Now outside We everything right Now outside I'll show feels like Now outside We everything right Now outside So give reason For stay close Tell lovers How still breathing? It's never us choose I'll strength Now holding Myself never enough Gotta strong There's power Now, every day I'll watching I'll show feels like Now outside We everything right Now outside I'll show feels like Now outside We everything right Now outside I'll show feels like Now outside I'll show feels like Show feels like Now outside We everything right Now outside","Electronic,Dance,UK,Pop"
4017,Leave Me Alone,"Leave Me Alone Yeah, yeah Yeah, miss got time Damn, yeah Yeah Young Forever Ayy, yeah, ayy Yeah, miss got time How could you?, wish never played Have time Damn Claiming you're lady, got time How could move like you're crazy? ain't call back Damn Leave alone Drunk fuck Bitch dumb fuck Running bucks D-damn, ayy Leave alone Drunk fuck Bitch, dumb fuck Bitch, done what? Yeah Leave alone Drunk fuck Bitch dumb fuck Running bucks Damn, ayy Leave alone Yeah, yeah, yeah, yeah Ayy Yeah, miss got time You lil' lady, drive crazy fine Damn How gon' play me? ain't fine Thinking ‘bout daily Smoking crazy tech Damn Flexin', oh flexing Always told you'd star Goals checklist Damn Question, oh check message Knew couldn't fuck bitch start Or, texting Damn Demon, cold Yeah Leave gone Yeah Fiendin', Yeah Dreaming, Yeah Drop coupe Dropping top car Ayy cannot love bitch fucking clique Man playing part Yeah, damn, ayy Life bitch, knew shit start Ayy told walk bitch leave shit dark Like damn Leave alone Drunk fuck Bitch dumb fuck Running bucks Damn, ayy Leave alone Drunk fuck Bitch dumb fuck Bitch done what? Yeah Leave alone Drunk fuck Bitch dumb fuck Running bucks Damn Leave alone Yeah, yeah, yeah, yeah You can't play me, wavy Sipping purple til lazy Like throwback Ayisyen ain't know Hit bop like Lil Kodak On block ain't good can't sweat like that? can't sweat don't Nah, nah, ayy Tell truth ain't want depart Ayy wanted can't fuck 'Cause different, can't play part No, damn, ayy Tell truth wanted start Ayy cannot fuck bitch can't love bitch playing part Like damn Leave alone Drunk fuck Bitch dumb fuck Running bucks Damn, ayy Leave alone Drunk fuck Bitch dumb fuck Bitch done what? Yeah Leave alone Drunk fuck Bitch dumb fuck Running bucks Damn, ayy Leave alone Yeah, yeah, yeah, yeah",Rap
58547,Online,"Online work pizza pit And drive old Hyundai still live mom dad 5'3 overweight Sci-Fi fanatic Mild asthmatic Never 2nd base But there's whole nother That need see Go check MySpace Cause online Hollywood 6'5 look damn good drive Maserati black belt Karate And love good glass wine It turns girls mysterious tell em don't want nothing serious Cause even slow day three way Chat two women one time much cooler online So much cooler online get home, kiss mom And fixes snack head basement bedroom And fire Mac In real life time Ever even L.A Was got chance marching band To play tuba Rose Parade Online live Malibu posed Calvin Kline, I've GQ single rich And got set six pack abs that'll blow mind When got kinda stats, it's hard get date Let alone real girlfriend But grow another foot And lose bunch weight everytime log Online Hollywood 6'5 look damn good Even slow day, three way Chat two women one time much cooler online Yeah cooler online much cooler online Yeah cooler online","Country,Rock"
29945,Demons,"Demons When days cold cards fold And saints see made gold When dreams fail ones hail Are worst all, blood's run stale wanna hide truth, wanna shelter But beast inside, there's nowhere hide No matter breed, still made greed This kingdom come, kingdom come When feel heat, look eyes It's demons hide, it's demons hide Don't get close; it's dark inside It's demons hide, it's demons hide At curtain's call it's last When lights fade out, sinners crawl So dug grave masquerade Will come calling mess made Don't wanna let down, hell-bound Though you, don't wanna hide truth No matter breed, still made greed This kingdom come, kingdom come When feel heat, look eyes It's demons hide, it's demons hide Don't get close; it's dark inside It's demons hide, it's demons hide They say it's make, say it's fate It's woven soul, need let go Your eyes, shine bright, wanna save light can't escape now, unless show When feel heat, look eyes It's demons hide, it's demons hide Don't get close; it's dark inside It's demons hide, it's demons hide","Adult Alternative,Adult Contemporary,Alternative Pop,Alternative Rock,Pop-Rock,Alternative,Indie Rock,Pop,Rock"
7380,Yours,"Yours Yours boat stuck bottle That never got chance touch sea Just forgot shelf No wind sails Going nowhere one one hundred billion A burned star galaxy Just lost sky wondering Everyone else shines But came life first kissed The best arms around You make better Thank God worn set shoes Wandering city street Another face crowd Head looking Lost sound lonely melody Empty pockets roulette Always landing lost bet Just live spin hope win Go lose But came life first kissed The best arms around You make better Thank God The worst long gone memory You put new heartbeat inside You make better Thank God boat stuck bottle That never got chance touch sea came life first kissed The best arms around You make better Thank God The worst long gone memory You put new heartbeat inside You make better Thank God Thank God Thank God yours, Thank God",Country
